## ----- Input_modules---------
 # Observatory, WFIRSTObservatoryL2
 # Completeness, GarrettCompleteness
 # SimulatedUniverse, KnownRVPlanetsUniverse
 # OpticalSystem, Nemati
 # ZodiacalLight, Stark
 # TimeKeeping, TimeKeeping
 # SurveySimulation, SurveySimulation
 # PostProcessing, PostProcessing
 # PlanetPhysicalModel, Forecaster
 # BackgroundSources, GalaxiesFaintStars
 # TargetList, KnownRVPlanetsTargetList
 # SurveyEnsemble, SurveyEnsemble
 # StarCatalog, StarCatalog
 # PlanetPopulation, KnownRVPlanets
 # ----- Input_scienceInstruments---------
 #!! scienceInstruments,1!!
 # CIC,0.0013
 # name,imaging-EMCCD
 # ENF,1.414
 # Rs,1.0
 # texp,1000.0
 # sread,0.2
 # QE,0.88
 # pitch,1e-05
 # idark,0.0005
 # focal,100.0
 #!! scienceInstruments,2!!
 # CIC,0.0013
 # name,spectro-CCD
 # sread,3.0
 # Rs,70.0
 # texp,1000.0
 # ENF,1.0
 # QE,0.88
 # pitch,1e-05
 # idark,0.0005
 # focal,100.0
 # ----- Input_starlightSuppressionSystems---------
 #!! starlightSuppressionSystems,1!!
 # lam,565.0
 # name,HLC-565
 # IWA,0.1475
 # deltaLam,56.5
 # ohTime,1.0
 # core_contrast,1e-09
 # OWA,0.4917
 # BW,0.1
 # PSF,[[ 1.  1.  1.]
 [ 1.  1.  1.]
 [ 1.  1.  1.]]
 # platescale,None
 # occ_trans,0.2
 # core_mean_intensity,2e-12
 # samp,10.0
 # core_area,0.005
 # core_thruput,0.01
 # occulter,False
 #!! starlightSuppressionSystems,2!!
 # lam,660.0
 # name,SPC-660
 # IWA,0.1608
 # deltaLam,118.8
 # ohTime,1.0
 # core_contrast,1e-09
 # OWA,0.517
 # BW,0.18
 # PSF,[[ 1.  1.  1.]
 [ 1.  1.  1.]
 [ 1.  1.  1.]]
 # platescale,None
 # occ_trans,0.3
 # core_mean_intensity,4e-12
 # samp,10.0
 # core_area,0.005
 # core_thruput,0.015
 # occulter,False
 # ----- Input_observingModes---------
 #!! observingModes,1!!
 # detectionMode,True
 # systName,HLC-565
 # instName,imaging-EMCCD
 # ----- Other_Inputs---------
 # nextTimeAvail, 0.0
 # currentTimeNorm, 0.0
 # scaleOrbits, False
 # minComp, 0.02
 # dMagLim, 19.0
 # fEZ0, 1.58489319246e-09
 # rrange, [  1.00000000e-03   1.99000000e+02]
 # fZ0, 6.3095734448e-10
 # missionFinishNorm, 1826.25
 # missionPortion, 0.1667
 # missionFinishAbs, 62502.25
 # Orange, [   0.  360.]
 # seed, 249232126
 # intCutoff, 30.0
 # missionStart, 60676.0
 # settlingTime, 0.02
 # duration, 30.0
 # pupilArea, 3.76178558707
 # arange, [   0.1  100. ]
 # Revision, Github commit 054e0750ee2020223b968e32624a07ed0ae5d7d2   Fri Mar 24 14:49:39 2017 -0400
 # prange, [ 0.083  0.882]
 # IWA, 0.1475
 # keepStarCatalog, False
 # slewIsp, 4160.0
 # FAP, 3e-07
 # Mprange, [  1.00000000e+00   4.13100000e+03]
 # OWA, 0.4917
 # defburnPortion, 0.05
 # magEZ, 22.0
 # eta, 0.1
 # scMass, 6000.0
 # Irange, [   0.  180.]
 # dtAlloc, 1.0
 # currentTimeAbs, 60676.0
 # ppFact, 1.0
 # varEZ, 0.0
 # skIsp, 220.0
 # wrange, [   0.  360.]
 # attenuation, 0.441
 # nStars, 38
 # dryMass, 3400.0
 # havejplephem, True
 # shapeFac, 0.7854
 # telescopeKeepout, 10.0
 # flowRate, 0.953042460591
 # Ndark, 10.0
 # thrust, 450.0
 # obscurFac, 0.14728
 # MDP, 0.001
 # missionLife, 5.0
 # coMass, 5800.0
 # magZ, 23.0
 # Rprange, [  1.   22.6]
 # maxFAfluxratio, 1e-06
 # constrainOrbits, False
 # erange, [ 0.01  0.99]
 # extendedLife, 0.0
 # occulterSep, 55000.0
 # WALim, 0.1475
 # haveOcculter, False
 # pupilDiam, 2.37
st_name,st_spt,st_parallax,st_Umag,st_Bmag,st_Vmag,st_Rmag,st_Imag,st_Jmag,st_Hmag,st_Kmag,distance,st_B-V,st_M_v,st_BC,st_Lum,pl_mass,pl_rad,pl_sma,pl_ecc,pl_wangle,pl_albedo,pl_phi,pl_incl,pl_fEZ,pl_dMag,pl_WA,char_status,det_WA,char_time,char_fEZ,det_fEZ,det_time,arrival_time,det_status,char_dMag,det_SNR,char_SNR,char_WA,det_dMag
55 Cnc,G8 V,79.8,6.82,6.83,5.96,6.961,6.5675,4.768,4.265,4.015,12.53,0.87,5.47024464503,-32.2045,0.582103217771,3.87800056913,1.29868183222,5.53560814545,0.0,157.55714245,0.16653839941,0.96727572047,105.037650876,5.33796193817e-11,21.7339910173,115.312206707,0,441.051790331,0.0,5.33796193817e-11,5.33796193817e-11,0.16813872153,6.99827452941,0,22.8301541762,0.148943126309,0.0,440.800466567,22.8448525951
55 Cnc,G8 V,79.8,6.82,6.83,5.96,6.961,6.5675,4.768,4.265,4.015,12.53,0.87,5.47024464503,-32.2045,0.582103217771,0.830600070943,1.51570591018,0.115226725951,0.0039113100997,326.761491051,0.142578787577,0.674180361727,69.8754135337,1.25069318279e-07,13.5424916474,7.36090252414,0,9.20949813616,0.0,1.24943446525e-07,1.23258140139e-07,0.16813872153,6.99827452941,-1,14.2727699028,0.0,0.0,9.15279895477,14.2700416299
55 Cnc,G8 V,79.8,6.82,6.83,5.96,6.961,6.5675,4.768,4.265,4.015,12.53,0.87,5.47024464503,-32.2045,0.582103217771,0.171400103207,0.409237119357,0.241345904435,0.0215697617906,284.595956175,0.149999017142,0.737693527886,94.5299719048,2.9618264085e-08,17.823383022,13.9126412193,0,2.74563841314,0.0,2.97514412835e-08,3.02686435592e-08,0.16813872153,6.99827452941,-1,18.1990806794,0.0,0.0,17.7329692207,17.4807688127
55 Cnc,G8 V,79.8,6.82,6.83,5.96,6.961,6.5675,4.768,4.265,4.015,12.53,0.87,5.47024464503,-32.2045,0.582103217771,0.0254234665824,0.171,0.0153940700467,0.356907383152,209.30163465,0.156455661901,0.455821445222,84.0267247056,5.13506785372e-06,14.589085532,1.39401488075,0,1.56133758537,0.0,4.05506884865e-06,4.37581668345e-06,0.16813872153,6.99827452941,-1,14.2689229428,0.0,0.0,1.10288122704,15.1314739568
55 Cnc,G8 V,79.8,6.82,6.83,5.96,6.961,6.5675,4.768,4.265,4.015,12.53,0.87,5.47024464503,-32.2045,0.582103217771,0.140999552536,1.1217046061,0.788435279869,0.337952167844,305.40081132,0.148514071652,0.710278256156,91.7402391385,3.7308516011e-09,17.9552625791,41.3719256164,0,45.9365193423,0.0,1.54774360164e-09,1.54700611751e-09,0.16813872153,6.99827452941,-1,18.7619173112,0.0,0.0,52.2253357412,18.7063813981
ups And,F8 V,74.25,4.7,4.64,4.1,6.961,6.5675,3.175,2.957,2.859,13.47,0.54,3.45316202139,-30.91575,0.985144642804,1.98100092116,0.807430895513,0.827776293366,0.252472974065,112.956466096,0.228404351259,0.778425356039,53.4765672579,1.3482158402e-08,18.8052958098,47.0551626971,0,61.35814035,0.0,1.19915283182e-08,1.15443327763e-08,0.00588245601974,8.18641325094,-1,19.2021325607,0.0,0.0,64.0942722634,19.1475663773
ups And,F8 V,74.25,4.7,4.64,4.1,6.961,6.5675,3.175,2.957,2.859,13.47,0.54,3.45316202139,-30.91575,0.985144642804,0.687600937589,0.941732303608,0.059222,0.0225366279636,121.121640909,0.30092745728,0.738330396695,51.6714271728,3.53676340092e-06,12.2042027487,3.16959209519,0,3.95330973888,0.0,3.61699754712e-06,3.45150187494e-06,0.00588245601974,8.18641325094,-1,12.202034029,0.0,0.0,3.21388125929,12.5138514362
ups And,F8 V,74.25,4.7,4.64,4.1,6.961,6.5675,3.175,2.957,2.859,13.47,0.54,3.45316202139,-30.91575,0.985144642804,4.13200554274,1.13396341898,2.51423404707,0.293698023777,319.466921737,0.813210027621,0.547164979632,81.1285192448,1.03603160906e-09,19.7345366389,217.155025367,0,44.0061149333,0.0,1.20989146641e-09,1.22660951186e-09,0.00588245601974,8.18641325094,-1,18.9370545369,0.0,0.0,48.3519087808,18.9180499496
ups And,F8 V,74.25,4.7,4.64,4.1,6.961,6.5675,3.175,2.957,2.859,13.47,0.54,3.45316202139,-30.91575,0.985144642804,1.05900065603,1.26756222206,5.24490296628,0.00514225486122,100.363560171,0.406078133669,0.649908782416,96.2375478377,3.88155964935e-10,21.1380053482,323.169956283,0,186.093467495,0.0,3.92961916151e-10,3.92928894736e-10,0.00588245601974,8.18641325094,0,20.7766181501,0.983668973245,0.0,181.659817778,20.7830080946
gam Cep,K1 IV,72.5,5.18,4.24,3.21,6.961,6.5675,1.661,1.19,1.038,13.79,1.03,2.51217866912,-30.02575,0.985144642804,1.84999769948,1.3926415761,1.99602404708,0.0406685643055,345.26158311,0.637102622,0.77996792658,71.6511194414,6.51120226563e-09,18.1049270763,95.6818483522,0,95.6818483522,0.0,6.51120226563e-09,6.51120226563e-09,0.00126738451176,9.21229570696,-1,18.1049270763,0.0,0.0,95.6818483522,18.1049270763
47 UMa,G0 V,71.04,5.79,5.66,5.05,6.961,6.5675,3.96,3.736,3.75,14.08,0.61,4.30698672597,-31.86575,0.985144642804,2.53001250119,0.88456788215,2.10272650718,0.0342370153147,79.245922613,0.621418705837,0.441350967733,143.327066104,1.5185087833e-09,19.9009130927,146.218258969,0,127.185691799,0.0,1.60889671211e-09,1.61417933262e-09,0.0278229387591,10.2335630915,-1,19.5317098914,0.0,0.0,129.274153406,19.4994865677
47 UMa,G0 V,71.04,5.79,5.66,5.05,6.961,6.5675,3.96,3.736,3.75,14.08,0.61,4.30698672597,-31.86575,0.985144642804,0.540000093854,0.670292985385,3.65939528911,0.117209636245,122.685291306,0.705400050184,0.409977755644,158.198201031,6.52477532465e-10,21.6274350007,254.932880715,0,230.939033912,0.0,7.98368132165e-10,8.01638551072e-10,0.0278229387591,10.2335630915,0,21.4624237313,0.521946425558,0.0,231.802086255,21.4406091337
47 UMa,G0 V,71.04,5.79,5.66,5.05,6.961,6.5675,3.96,3.736,3.75,14.08,0.61,4.30698672597,-31.86575,0.985144642804,1.64000238268,0.902739167358,10.7599942392,0.100153150683,302.601353864,0.281260897632,0.674260669929,127.439410259,3.91002020427e-11,23.9941511007,674.630631803,0,502.270052475,0.0,4.0359467607e-11,4.03814504357e-11,0.0278229387591,10.2335630915,-2,23.7441612178,0.0,0.0,502.412362979,23.7435646356
HD 160691,G5 V,65.46,6.82,5.85,5.15,4.735,4.4,4.158,3.724,3.683,15.28,0.7,4.2293832288,-31.96575,0.985144642804,1.81399895181,1.1673065913,6.94800077199,0.0454009999113,91.9626627574,0.142364762589,0.472694973875,36.9002019234,1.44430252908e-10,23.4522784885,445.350934256,0,397.340180842,0.0,1.39232376662e-10,1.39295192487e-10,0.0802174007643,11.2813860302,0,23.1644720701,0.108858493081,0.0,396.612721408,23.1670828148
HD 160691,G5 V,65.46,6.82,5.85,5.15,4.735,4.4,4.158,3.724,3.683,15.28,0.7,4.2293832288,-31.96575,0.985144642804,1.07999389477,1.1818488116,1.49041011717,0.124297686876,248.225404458,0.458345348512,0.977808333041,87.565680081,1.91900429534e-09,18.2285091694,23.466629874,0,82.8195075069,0.0,2.9935750544e-09,2.9292963652e-09,0.0802174007643,11.2813860302,-1,18.2832944501,0.0,0.0,76.8555205668,18.4633472895
HD 160691,G5 V,65.46,6.82,5.85,5.15,4.735,4.4,4.158,3.724,3.683,15.28,0.7,4.2293832288,-31.96575,0.985144642804,0.033210032517,0.258043388889,0.0910725004255,0.203310355904,285.152137759,0.164772498636,0.457131854705,100.31562155,8.23265021796e-07,16.8459763662,5.00925205735,0,2.74953219525,0.0,5.382738141e-07,4.30753484992e-07,0.0802174007643,11.2813860302,-1,17.2622502454,0.0,0.0,6.13504874954,16.7783589326
HD 160691,G5 V,65.46,6.82,5.85,5.15,4.735,4.4,4.158,3.724,3.683,15.28,0.7,4.2293832288,-31.96575,0.985144642804,0.521900033023,1.06181925838,0.917238533002,0.0875902273768,341.93527065,0.260054628835,0.799152353567,50.0165689502,6.82857519739e-09,18.0470096577,39.7083104281,0,37.3965494573,0.0,7.96880036454e-09,7.65975400913e-09,0.0802174007643,11.2813860302,-1,17.8972931982,0.0,0.0,37.8737418546,17.9208394272
